record_id,raw_name,canonical_name,dataset,script,language_hint,country,variants_json,warnings_json,metadata_json
sage-240a9488e3ff4ac0,廖再興,廖再興,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""liaozaixing"", ""native"": ""廖再興""}",[],"{""source_row"": 122710}"
sage-133e468be7400757,臧汝興,臧汝興,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""zangruxing"", ""native"": ""臧汝興""}",[],"{""source_row"": 122711}"
sage-67ca3cb2bef7d91d,李欣翰,李欣翰,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""lixinhan"", ""native"": ""李欣翰""}",[],"{""source_row"": 122713}"
sage-4ebd2b932451d0a0,胡大剛,胡大剛,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""hudagang"", ""native"": ""胡大剛""}",[],"{""source_row"": 122714}"
sage-f123db1f31bd8e7e,廖麗娟,廖麗娟,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""liaolijuan"", ""native"": ""廖麗娟""}",[],"{""source_row"": 122715}"
sage-1e63d7604b7295a7,張銘祐,張銘祐,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""zhangmingyou"", ""native"": ""張銘祐""}",[],"{""source_row"": 122716}"
sage-d9ad3dfd7f15a361,賴嘉倫,賴嘉倫,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""laijialun"", ""native"": ""賴嘉倫""}",[],"{""source_row"": 122717}"
sage-22ff399084672691,張志偉,張志偉,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""zhangzhiwei"", ""native"": ""張志偉""}",[],"{""source_row"": 122718}"
sage-4ff19c2850ac81f3,張依維,張依維,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""zhangyiwei"", ""native"": ""張依維""}",[],"{""source_row"": 122721}"
sage-2e4112a780ca266e,賴品妤,賴品妤,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""laipinyu"", ""native"": ""賴品妤""}",[],"{""source_row"": 122722}"
sage-863a014b8ca8b467,孫繼正,孫繼正,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""sunjizheng"", ""native"": ""孫繼正""}",[],"{""source_row"": 122723}"
sage-dddb9fd21bceb1cf,廖蓓瑩,廖蓓瑩,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""liaobeiying"", ""native"": ""廖蓓瑩""}",[],"{""source_row"": 122726}"
sage-db5bc405ac5cfb47,高鈺婷,高鈺婷,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""gaoyuting"", ""native"": ""高鈺婷""}",[],"{""source_row"": 122728}"
sage-c57f8614520e0123,曾楷耀,曾楷耀,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""cengkaiyao"", ""native"": ""曾楷耀""}",[],"{""source_row"": 122729}"
sage-6a705dafad1774c6,劉復嵐,劉復嵐,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""liufulan"", ""native"": ""劉復嵐""}",[],"{""source_row"": 122731}"
sage-0e46b96c8c6ed446,余筱菁,余筱菁,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""yuxiaojing"", ""native"": ""余筱菁""}",[],"{""source_row"": 122732}"
sage-868f92d8a7d36238,周江杰,周江杰,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""zhoujiangjie"", ""native"": ""周江杰""}",[],"{""source_row"": 122734}"
sage-2c605c8703b62014,林碩彥,林碩彥,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""linshuoyan"", ""native"": ""林碩彥""}",[],"{""source_row"": 122736}"
sage-807239e01fefa96a,陳冠宇,陳冠宇,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""chenguanyu"", ""native"": ""陳冠宇""}",[],"{""source_row"": 122737}"
sage-556d32b714355aff,林思銘,林思銘,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""linsiming"", ""native"": ""林思銘""}",[],"{""source_row"": 122738}"
sage-d4485abf3815b7ea,鄭朝方,鄭朝方,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""zhengchaofang"", ""native"": ""鄭朝方""}",[],"{""source_row"": 122739}"
sage-ffb57789e8cfa0d4,劉士睿,劉士睿,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""liushirui"", ""native"": ""劉士睿""}",[],"{""source_row"": 122741}"
sage-f67fadd407618d1b,楊淂鉉,楊淂鉉,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""yangdexuan"", ""native"": ""楊淂鉉""}",[],"{""source_row"": 122745}"
sage-9eec6f302231dd42,陳泓維,陳泓維,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""chenhongwei"", ""native"": ""陳泓維""}",[],"{""source_row"": 122746}"
sage-6b6d2e070e012978,沈育和,沈育和,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""shenyuhe"", ""native"": ""沈育和""}",[],"{""source_row"": 122747}"
sage-ae87b5ab54d87f77,黃世杰,黃世杰,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""huangshijie"", ""native"": ""黃世杰""}",[],"{""source_row"": 122748}"
sage-572e32a63cb1927f,吳文凱,吳文凱,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""wuwenkai"", ""native"": ""吳文凱""}",[],"{""source_row"": 122749}"
sage-86e23ddcfc41f64b,陳志豪,陳志豪,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""chenzhihao"", ""native"": ""陳志豪""}",[],"{""source_row"": 122750}"
sage-c67b5ce45b9aa424,張馨云,張馨云,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""zhangxinyun"", ""native"": ""張馨云""}",[],"{""source_row"": 122751}"
sage-0d59c336ff124235,胡文中,胡文中,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""huwenzhong"", ""native"": ""胡文中""}",[],"{""source_row"": 122753}"
sage-a2b60ac32ca8ff14,魯明哲,魯明哲,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""lumingzhe"", ""native"": ""魯明哲""}",[],"{""source_row"": 122754}"
sage-313cb61efe1cac3d,李奇峰,李奇峰,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""liqifeng"", ""native"": ""李奇峰""}",[],"{""source_row"": 122755}"
sage-bce8a5f425621fac,彭俊豪,彭俊豪,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""pengjunhao"", ""native"": ""彭俊豪""}",[],"{""source_row"": 122756}"
sage-2eb467d6a15cb1d7,林佳瑋,林佳瑋,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""linjiawei"", ""native"": ""林佳瑋""}",[],"{""source_row"": 122757}"
sage-4644447cc5ed1e78,李文雄,李文雄,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""liwenxiong"", ""native"": ""李文雄""}",[],"{""source_row"": 122758}"
sage-e20c1149996d3cd2,林國政,林國政,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""linguozheng"", ""native"": ""林國政""}",[],"{""source_row"": 122759}"
sage-9c1d92c286ad1ce1,李中,李中,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""lizhong"", ""native"": ""李中""}",[],"{""source_row"": 122760}"
sage-2ddf09a2d5b67eb5,吳清江,吳清江,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""wuqingjiang"", ""native"": ""吳清江""}",[],"{""source_row"": 122761}"
sage-ce63bb0d9173eb28,萬美玲,萬美玲,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""wanmeiling"", ""native"": ""萬美玲""}",[],"{""source_row"": 122762}"
sage-e08415d0b088066d,劉芳萍,劉芳萍,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""liufangping"", ""native"": ""劉芳萍""}",[],"{""source_row"": 122765}"
sage-e47dfa9d4c6af1f1,易乃文,易乃文,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""yinaiwen"", ""native"": ""易乃文""}",[],"{""source_row"": 122767}"
sage-5dc990d68adc7d2d,蔣絜安,蔣絜安,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""jiangjiean"", ""native"": ""蔣絜安""}",[],"{""source_row"": 122768}"
sage-06c98968806bb56f,呂應宏,呂應宏,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""luyinghong"", ""native"": ""呂應宏""}",[],"{""source_row"": 122771}"
sage-d0ce5fa3d22d4a9c,林佳新,林佳新,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""linjiaxin"", ""native"": ""林佳新""}",[],"{""source_row"": 122775}"
sage-c146f677ad10d942,黃朝淵,黃朝淵,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""huangchaoyuan"", ""native"": ""黃朝淵""}",[],"{""source_row"": 122776}"
sage-2bf4e853fa3c7401,陳柏惟,陳柏惟,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""chenbaiwei"", ""native"": ""陳柏惟""}",[],"{""source_row"": 122778}"
sage-65a942bc1c36ecee,朱立凡,朱立凡,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""zhulifan"", ""native"": ""朱立凡""}",[],"{""source_row"": 122779}"
sage-5bf88fe0d38b5241,宋柏澄,宋柏澄,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""songbaicheng"", ""native"": ""宋柏澄""}",[],"{""source_row"": 122780}"
sage-22227fe9173bcd28,張睿倉,張睿倉,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""zhangruicang"", ""native"": ""張睿倉""}",[],"{""source_row"": 122782}"
sage-774b236b730f88d5,張烱春,張烱春,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""zhangjiongchun"", ""native"": ""張烱春""}",[],"{""source_row"": 122783}"
sage-0068b8b0d875120c,李家葳,李家葳,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""lijiawei"", ""native"": ""李家葳""}",[],"{""source_row"": 122785}"
sage-bc371d9a2ea299c4,黃馨慧,黃馨慧,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""huangxinhui"", ""native"": ""黃馨慧""}",[],"{""source_row"": 122787}"
sage-92da4032d84b6573,張渝江,張渝江,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""zhangyujiang"", ""native"": ""張渝江""}",[],"{""source_row"": 122789}"
sage-1f3d43ef8fbcda8d,紀經儀,紀經儀,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""jijingyi"", ""native"": ""紀經儀""}",[],"{""source_row"": 122791}"
